FullName,ImpactFactor
International Journal of STEM Education,2.606
Global Ecology and Biogeography,2.603
Cancer and Metastasis Reviews,2.596
Annals of Surgery,2.593
American Educational Research Journal,2.592
Advances in Nutrition,2.591
IEEE Transactions on Intelligent Transportation Systems,2.589
Transportation Research Part B: Methodological,2.589
Acta Neuropathologica Communications,2.588
Progress in Energy,2.588
Sustainable Production and Consumption,2.588
Polymer Reviews,2.585
Alcohol Research: Current Reviews,2.582
Journal of Differential Geometry,2.582
Journal of Advanced Research,2.576
Environmental Health Perspectives,2.572
Foundations and Trends in Communications and Information Theory,2.571
IEEE Transactions on Knowledge and Data Engineering,2.57
npj 2D Materials and Applications,2.565
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,2.562
Technology in Society,2.559
Operations Research,2.557
Progress in Neurobiology,2.552
Economic Geography,2.546
Journal of Clinical Periodontology,2.543
OncoImmunology,2.542
IEEE Transactions on Cognitive Communications and Networking,2.541
Current Opinion in Neurobiology,2.54
Ecography,2.54
"Gender, Work and Organization",2.539
The Lancet Regional Health - Western Pacific,2.534
"Arteriosclerosis, Thrombosis, and Vascular Biology",2.532
Journal of Communication,2.532
Energy Research and Social Science,2.53
Journal of Economic Surveys,2.527
Sociological Theory,2.527
Quantum,2.526
Journal of Public Policy and Marketing,2.525
Wiley Interdisciplinary Reviews: Water,2.524
"Computers, Environment and Urban Systems",2.523
Journal of Health and Social Behavior,2.519
Publications of the Astronomical Society of the Pacific,2.517
Battery Energy,2.516
IEEE Network,2.516
Clinical Psychological Science,2.513
Reading Research Quarterly,2.513
Transportation Research Part E: Logistics and Transportation Review,2.513
RNA,2.512
Current Opinion in Solid State and Materials Science,2.511
Catalysis Reviews - Science and Engineering,2.51
Global Biogeochemical Cycles,2.509
AGU Advances,2.507
European Heart Journal - Quality of Care and Clinical Outcomes,2.507
Acta Psychiatrica Scandinavica,2.506
Studies in Second Language Acquisition,2.506
Annual Review of Food Science and Technology,2.503
IEEE Transactions on Image Processing,2.502
Psychological Science,2.5
JACC: Basic to Translational Science,2.496
Current Opinion in Microbiology,2.495
Cell Communication and Signaling,2.494
Social Psychological and Personality Science,2.494
Molecular Cancer Therapeutics,2.493
Annual Review of Resource Economics,2.492
Economic Policy,2.489
Gastric Cancer,2.489
Oncogene,2.489
European Child and Adolescent Psychiatry,2.488
IEEE Internet of Things Journal,2.483
International Journal of Rock Mechanics and Mining Sciences,2.481
Mobile DNA,2.479
Biomedical Technology,2.478
RELC Journal,2.478
Smart Learning Environments,2.476
British Journal of Psychiatry,2.471
American Journal of Health Economics,2.47
Journal of Controlled Release,2.47
Monographs of the Society for Research in Child Development,2.47
MedComm,2.469
Nature Reviews Urology,2.466
Small Science,2.464
Natural Product Reports,2.463
Behavior Research Methods,2.462
Journal of Materials Chemistry A,2.462
SciPost Physics Lecture Notes,2.462
Annals of Tourism Research,2.461
British Journal of Dermatology,2.459
Cellular and Molecular Biology Letters,2.458
American Journal of Mathematics,2.455
Clinical Child and Family Psychology Review,2.455
Translational Psychiatry,2.453
Research Methods in Applied Linguistics,2.452
Bioinformatics,2.451
BMJ Global Health,2.451
Current Forestry Reports,2.451
Haematologica,2.449
Thorax,2.448
Reviews in Endocrine and Metabolic Disorders,2.446
Journal of Industrial Information Integration,2.445
Journal of the National Cancer Center,2.441
American Journal of Transplantation,2.439
European Stroke Journal,2.433
Immuno-Oncology and Technology,2.43
Journal of Health Economics,2.43
International Journal of Forecasting,2.428
American Journal of Agricultural Economics,2.426
Critical Perspectives on Accounting,2.426
Adolescent Research Review,2.424
Psychological Medicine,2.424
Assessment and Evaluation in Higher Education,2.422
Journal of Ecology,2.422
European Journal of Personality,2.418
Transcription,2.418
Annales Scientifiques de l'Ecole Normale Superieure,2.416
California Management Review,2.416
Research in Organizational Behavior,2.416
Computer Methods in Applied Mechanics and Engineering,2.412
Current Opinion in Psychiatry,2.411
Annals of the International Communication Association,2.41
Materials Futures,2.41
JCO Precision Oncology,2.409
Social Issues and Policy Review,2.407
Pediatrics,2.406
Calculus of Variations and Partial Differential Equations,2.405
Conservation Letters,2.405
Neurology,2.401
Modern Pathology,2.4
New Media and Society,2.4
Journal of Policy Analysis and Management,2.398
IEEE Transactions on Geoscience and Remote Sensing,2.397
Bioresource Technology,2.395
European Economic Review,2.395
International Journal of Behavioral Nutrition and Physical Activity,2.394
Modern Language Journal,2.394
European Journal of Nuclear Medicine and Molecular Imaging,2.392
Briefings in Bioinformatics,2.39
Molecular Biomedicine,2.387
Annual Reviews in Control,2.386
Physics of Life Reviews,2.384
Organizational Behavior and Human Decision Processes,2.383
Resources Policy,2.381
Circulation: Cardiovascular Quality and Outcomes,2.38
Journal of Occupational Health Psychology,2.38
Clinical Journal of the American Society of Nephrology,2.377
Science China Chemistry,2.377
Group and Organization Management,2.373
Epilepsia,2.371
International Security,2.371
Current Psychiatry Reports,2.37
npj Biofilms and Microbiomes,2.37
Multimodal Transportation,2.369
Nano Research,2.367
Decision Support Systems,2.366
BioScience,2.365
Communications Materials,2.365
Diabetes and Metabolism Journal,2.365
Demography,2.363
Analysis and PDE,2.361
British Journal of Anaesthesia,2.36
Journal of Heart and Lung Transplantation,2.359
Trends in Biotechnology,2.359
Addiction,2.357
Diabetes,2.355
Horticulture Research,2.354
ACS Environmental Au,2.349
Breast,2.348
Meta-Radiology,2.347
JCO Oncology Practice,2.346
American Journal of Gastroenterology,2.344
British Journal of Pharmacology,2.344
Progress in Quantum Electronics,2.343
Reviews in Environmental Science and Biotechnology,2.338
Food Policy,2.335
International Endodontic Journal,2.335
Epidemiology and Psychiatric Sciences,2.334
International Journal of Robotics Research,2.333
IEEE Transactions on Mobile Computing,2.332
EcoSal Plus,2.331
Eurosurveillance,2.331
Osteoarthritis and Cartilage,2.331
Proceedings of the London Mathematical Society,2.331
Cell Insight,2.33
Quantitative Marketing and Economics,2.33
Oncologist,2.329
Advanced Healthcare Materials,2.328
Journal of Mixed Methods Research,2.328
Economic Geology,2.326
Electronic Markets,2.325
Transportation Science,2.324
Carbon Neutrality,2.321
Carbon,2.32
Journal of High Energy Astrophysics,2.32
GLIA,2.317
Communication Theory,2.316
Review of Managerial Science,2.316
Stem Cell Reports,2.314
Journal of Business and Psychology,2.313
Journal of Combinatorial Theory. Series B,2.312
SIAM Journal on Numerical Analysis,2.312
Trends in Cardiovascular Medicine,2.311
IEEE Journal of Emerging and Selected Topics in Power Electronics,2.31
Foundations of Computational Mathematics,2.308
Omega (United Kingdom),2.308
Journal of Applied Econometrics,2.305
Tobacco Control,2.305
International Journal of Information Management Data Insights,2.302
Transportation Research Part D: Transport and Environment,2.301
Cellular and Molecular Life Sciences,2.299
European Heart Journal Cardiovascular Imaging,2.299
Journal of Travel and Tourism Marketing,2.299
Research,2.299
Journal of Advances in Modeling Earth Systems,2.298
Acta Pharmacologica Sinica,2.297
Corporate Social Responsibility and Environmental Management,2.294
Journal of Economic History,2.292
Mathematische Annalen,2.292
ImmunoTargets and Therapy,2.291
BioDrugs,2.29
Space Science Reviews,2.289
Communication Methods and Measures,2.288
International Review of Financial Analysis,2.288
JAMA Ophthalmology,2.288
Criminology,2.287
Language Learning,2.287
Blood Reviews,2.283
Journal of Nanobiotechnology,2.282
Journal of Autoimmunity,2.281
Molecular Ecology Resources,2.281
Business Horizons,2.28
Communication Research,2.279
Materials Research Letters,2.279
Materials Today Physics,2.278
Climate Policy,2.275
Plant Journal,2.275
Gender and Society,2.272
Genetics,2.272
Annual Review of Vision Science,2.271
Tunnelling and Underground Space Technology,2.269
British Journal of Management,2.267
CSEE Journal of Power and Energy Systems,2.265
Emerging Microbes and Infections,2.264
Perspectives on Politics,2.264
Cyborg and Bionic Systems,2.263
EES Catalysis,2.261
American Journal of Sports Medicine,2.26
Journal of Behavioral Addictions,2.26
Journal of Destination Marketing and Management,2.26
Cell Reports Methods,2.257
British Journal of Clinical Psychology,2.256
Public Administration,2.255
Earth and Planetary Science Letters,2.254
International Journal of Cancer,2.252
Asian Journal of Pharmaceutical Sciences,2.251
Biofuel Research Journal,2.251
"Diabetes, Obesity and Metabolism",2.251
Electron,2.251
Journal of Peasant Studies,2.248
IEEE Transactions on Energy Conversion,2.247
Journal of the ACM,2.246
IEEE/ASME Transactions on Mechatronics,2.243
Public Management Review,2.243
International Journal of Production Research,2.242
International Journal of Applied Earth Observation and Geoinformation,2.241
Surface Science Reports,2.241
IEEE Wireless Communications Letters,2.24
European Journal of Operational Research,2.239
Advances in Physics: X,2.237
JNCI Cancer Spectrum,2.236
Learning and Instruction,2.236
npj Vaccines,2.236
Apoptosis,2.233
International Journal of Human Resource Management,2.231
Journal of Consulting and Clinical Psychology,2.231
Water Research X,2.231
Astronomical Journal,2.229
Journal of Nuclear Medicine,2.224
Conservation Biology,2.222
Active Learning in Higher Education,2.221
Internet and Higher Education,2.221
International Journal of Consumer Studies,2.22
Arthroscopy - Journal of Arthroscopic and Related Surgery,2.219
Progress of Theoretical and Experimental Physics,2.219
Journal of Computer-Mediated Communication,2.216
Journal of Molecular Biology,2.215
Frontiers in Neuroendocrinology,2.213
Journal of Urology,2.213
Clinical Nutrition,2.212
FEBS Journal,2.212
Energy,2.211
Computers in Industry,2.209
Journal of Environmental Psychology,2.208
Big Data and Society,2.207
Environmental Pollution,2.205
System,2.205
Breast Cancer Research,2.202
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,2.202
Business and Information Systems Engineering,2.201
Critical Reviews in Food Science and Nutrition,2.2
Circular Economy,2.199
Limnology and Oceanography Letters,2.199
Production Planning and Control,2.198
Weather and Climate Dynamics,2.197
Acta Geotechnica,2.195
Child Development,2.195
Transplantation and Cellular Therapy,2.195
Journal of Information Technology,2.192
Neuropsychology Review,2.191
Language Teaching Research,2.19
Sustainable Operations and Computers,2.19
Corrosion Science,2.189
Journal fur die Reine und Angewandte Mathematik,2.189
Journal of the American Heart Association,2.189
International Journal of Mechanical Sciences,2.188
Journal of Second Language Writing,2.187
Party Politics,2.186
Journal of Toxicology and Environmental Health - Part B: Critical Reviews,2.185
Oncogenesis,2.185
IEEE Open Journal of the Communications Society,2.183
Journal of Clinical Endocrinology and Metabolism,2.183
New Political Economy,2.182
NAR Genomics and Bioinformatics,2.179
Ultrafast Science,2.179
npj Genomic Medicine,2.178
"Scandinavian Journal of Work, Environment and Health",2.178
ReCALL,2.177
Social Problems,2.177
IEEE Communications Standards Magazine,2.174
Journal of Cleaner Production,2.174
Personality and Social Psychology Bulletin,2.174
Political Communication,2.173
Fuzzy Optimization and Decision Making,2.171
Journal of Anxiety Disorders,2.171
Journal of Climate,2.169
Social Media and Society,2.169
Neoplasia (United States),2.167
Weather and Climate Extremes,2.167
npj Quantum Materials,2.166
Mobile Media and Communication,2.165
Current Opinion in Behavioral Sciences,2.164
Trends in Environmental Analytical Chemistry,2.164
Current Diabetes Reports,2.163
Plant Physiology,2.162
World Development,2.161
Journal of Cardiac Failure,2.16
Journal of Pathology,2.16
Assessment,2.158
Journal of Hospitality and Tourism Management,2.158
Advanced Nonlinear Studies,2.157
IEEE Transactions on Vehicular Technology,2.156
Journal of the European Academy of Dermatology and Venereology,2.154
Fish and Fisheries,2.153
NPG Asia Materials,2.152
Current Opinion in Environmental Sustainability,2.15
Higher Education,2.15
"Plant, Cell and Environment",2.15
Journal of Small Business Management,2.149
Ultrasound in Obstetrics and Gynecology,2.149
Financial Analysts Journal,2.148
Human Reproduction,2.147
Alzheimer's and Dementia: Translational Research and Clinical Interventions,2.146
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,2.146
"Cambridge Journal of Regions, Economy and Society",2.144
Environmental Research Letters,2.144
Journal of Remote Sensing (United States),2.144
Aging and Disease,2.143
Science Signaling,2.143
Chemical Science,2.138
Journal of Conflict Resolution,2.138
Schizophrenia Bulletin,2.138
Science of the Total Environment,2.137
Systematic Reviews,2.137
IEEE Transactions on Affective Computing,2.136
Journal of Gastroenterology,2.136
SOIL,2.136
IEEE Transactions on Information Forensics and Security,2.135
Bone and Joint Journal,2.131
Geology,2.131
Telematics and Informatics,2.131
Molecular Horticulture,2.129
Electoral Studies,2.128
Affective Science,2.127
Clinical Pharmacology and Therapeutics,2.127
Critical Reviews in Solid State and Materials Sciences,2.127
Journal of Modern Power Systems and Clean Energy,2.127
Contemporary Educational Psychology,2.126
